455,-2.28900,in
456,-2.29700,in
457,-2.30400,in
458,-2.31200,in
459,-2.32000,in
460,-2.32800,in
461,-2.33600,in
462,-2.34400,in
463,-2.35200,in
464,-2.36000,in
465,-2.36800,in
466,-2.37600,in
467,-2.38400,in
468,-2.39200,in
469,-2.40000,in
470,-2.40700,in
471,-2.41500,in
472,-2.42300,in
473,-2.43100,in
474,-2.43900,in
475,-2.44700,in
476,-2.45500,in
477,-2.46400,in
478,-2.47200,in
479,-2.48000,in
480,-2.48800,in
481,-2.49600,in
482,-2.50400,in
483,-2.51200,in
484,-2.52000,in
485,-2.52800,in
486,-2.53600,in
487,-2.54400,in
488,-2.55200,in
489,-2.56000,in
490,-2.56900,in
491,-2.57700,in
492,-2.58500,in
493,-2.59300,in
494,-2.60100,in
495,-2.60900,in
496,-2.61700,in
497,-2.62600,in
498,-2.63400,in
499,-2.64200,in
